link_id,start_id,end_id,distance,rt_struct,route_type,direction,width,vtcl_slope,lev_diff,tfc_signal,tfc_s_type,brail_tile,elevator,roof,start_lat,start_lon,end_lat,end_lon,wkt
00001B000000000309CDC8A65EAD7FC4,00001B000000000309CDC8A65EAD7FC1,00001B000000000309CDC8265EAD7FC1,5.3,1,1,1,2,1,1,1,1,1,1,1,35.69472156,139.7002863,35.69467523,139.7002986,"LINESTRING(139.70028634 35.694721559, 139.700298606 35.69467523)"
00001B000000000309CDB2265E91FFC1,00001B000000000309CDB2265E8EFFC1,00001B000000000309CDB2A65E94FFC1,30.1,1,1,1,4,1,1,1,1,1,1,1,35.69345526,139.6986064,35.69347558,139.6989382,"LINESTRING(139.698606417 35.693455263, 139.698938197 35.693475582)"
00001B000000000309CDB1A65E95FFC1,00001B000000000309CDB2A65E94FFC1,00001B000000000309CDB1265E96FFC1,11.7,1,1,1,4,1,1,1,1,1,1,1,35.69347558,139.6989382,35.69340486,139.6990348,"LINESTRING(139.698938197 35.693475582, 139.699034791 35.693404859)"
00001B000000000309CDB1265E9B7FC3,00001B000000000309CDB1265E9B7FC2,00001B000000000309CDB1265E9B7FC1,0.3,1,1,1,4,3,1,1,1,2,1,1,35.69339045,139.6992818,35.69339277,139.6992815,"LINESTRING(139.699281768 35.693390453, 139.699281462 35.69339277)"
00001B000000000309CDB1265E9C7FC1,00001B000000000309CDB1265E9B7FC1,00001B000000000309CDB1A65E9D7FC1,12.3,1,1,1,4,3,1,1,1,2,1,1,35.69339277,139.6992815,35.69343695,139.6994059,"LINESTRING(139.699281462 35.69339277, 139.69940585 35.693436952)"
00001B000000000309CD8DA65E697FC1,00001B000000000309CD8F265E69FFC1,00001B000000000309CD8C265E68FFC1,17.9,1,1,1,4,1,1,1,1,2,1,1,35.69151565,139.6965321,35.69135997,139.6964787,"LINESTRING(139.696532055 35.691515651, 139.696478667 35.691359966)"
00001B000000000309CD81265E63FFC1,00001B000000000309CD83A65E63FFC1,00001B000000000309CD7EA65E647FC1,31.1,1,1,1,4,1,1,1,1,2,1,1,35.69088352,139.6962029,35.69060397,139.6962273,"LINESTRING(139.696202877 35.690883519, 139.696227333 35.690603971)"
00001B000000000309CD81A65E677FC1,00001B000000000309CD7F265E67FFC1,00001B000000000309CD84265E677FC1,29.2,1,1,1,4,1,1,1,1,2,1,1,35.69062691,139.6964185,35.69088923,139.6963979,"LINESTRING(139.696418505 35.690626909, 139.696397858 35.690889226)"
00001B000000000309CD8D265E64FFC1,00001B000000000309CD8AA65E647FC1,00001B000000000309CD8FA65E65FFC1,31.6,1,1,1,4,1,1,1,1,2,1,1,35.69126208,139.6962265,35.69153696,139.6963188,"LINESTRING(139.696226523 35.691262076, 139.696318826 35.691536957)"
00001B000000000309CD8F265E65FFC1,00001B000000000309CD8FA65E65FFC1,00001B000000000309CD8EA65E65FFC1,4.3,1,1,1,4,1,1,1,1,2,1,1,35.69153696,139.6963188,35.69149931,139.6963278,"LINESTRING(139.696318826 35.691536957, 139.696327806 35.691499312)"
00001B000000000309CD8EA65E697FC2,00001B000000000309CD8F265E69FFC1,00001B000000000309CD8EA65E697FC1,4.5,1,1,1,4,1,1,1,1,2,1,1,35.69151565,139.6965321,35.69148401,139.6965018,"LINESTRING(139.696532055 35.691515651, 139.696501776 35.691484008)"
