link_id,start_id,end_id,distance,rt_struct,route_type,direction,width,vtcl_slope,lev_diff,tfc_signal,tfc_s_type,brail_tile,elevator,roof
00001B000000000309CBD5265F38FFC2,00001B000000000309CBD5265F387FC1,00001B000000000309CBD5265F38FFC1,4.0,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CBE4265F29FFC3,00001B000000000309CBE4265F29FFC2,00001B000000000309CBE4265F29FFC1,2.3,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBDA265F30FFC3,00001B000000000309CBDA265F30FFC2,00001B000000000309CBDA265F30FFC1,1.6,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBDA265F31FFC2,00001B000000000309CBDA265F327FC1,00001B000000000309CBDA265F31FFC1,1.4,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CC11A65F24FFC2,00001B000000000309CC11A65F24FFC1,00001B000000000309CC12265F257FC1,1.1,1,1,1,3,3,1,1,1,1,1,1
00001B000000000309CC12A65F257FC2,00001B000000000309CC12A65F257FC1,00001B000000000309CC13265F25FFC1,1.5,1,1,1,3,2,1,1,1,1,1,1
00001B000000000309CC1D265F2C7FC1,00001B000000000309CC1CA65F2BFFC1,00001B000000000309CC1DA65F2CFFC1,6.6,1,1,1,3,2,1,1,1,2,1,1
00001B000000000309CC64A65F3D7FC1,00001B000000000309CC65A65F417FC1,00001B000000000309CC64265F38FFC1,43.6,1,1,1,3,2,1,1,1,1,1,1
00001B000000000309CC62265F3EFFC1,00001B000000000309CC63265F43FFC1,00001B000000000309CC61265F397FC1,55.6,1,1,1,3,2,1,1,1,1,1,1
00001B000000000309CC66A65F49FFC2,00001B000000000309CC66A65F49FFC1,00001B000000000309CC66A65F497FC1,1.5,1,1,1,3,2,1,1,1,1,1,1
00001B000000000309CC69A65F57FFC3,00001B000000000309CC69A65F57FFC2,00001B000000000309CC69A65F57FFC1,1.2,1,1,1,3,3,1,1,1,1,1,1
00001B000000000309CC69265F56FFC3,00001B000000000309CC69265F56FFC2,00001B000000000309CC69265F56FFC1,1.3,1,1,1,3,2,1,1,1,1,1,1
00001B000000000309CC66A65F58FFC2,00001B000000000309CC66A65F597FC1,00001B000000000309CC66A65F58FFC1,1.5,1,1,1,3,3,1,1,1,1,1,1
00001B000000000309CC69265F68FFC3,00001B000000000309CC69265F68FFC2,00001B000000000309CC69265F68FFC1,1.2,1,1,1,3,3,1,1,1,1,1,1
00001B000000000309CC68265F677FC2,00001B000000000309CC68265F67FFC1,00001B000000000309CC68265F677FC1,1.3,1,1,1,3,2,1,1,1,1,1,1
00001B000000000309CC60265F71FFC3,00001B000000000309CC60265F71FFC2,00001B000000000309CC60265F71FFC1,1.0,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CC5DA65F727FC3,00001B000000000309CC5DA65F727FC2,00001B000000000309CC5DA65F727FC1,1.0,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CC5FA65F70FFC3,00001B000000000309CC5FA65F70FFC2,00001B000000000309CC5FA65F70FFC1,0.9,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CC55265F677FC3,00001B000000000309CC55265F677FC1,00001B000000000309CC55265F677FC2,1.5,1,1,1,3,2,1,1,1,1,1,1
00001B000000000309CC54265F667FC1,00001B000000000309CC53A65F657FC1,00001B000000000309CC55265F677FC1,14.4,1,1,1,3,1,1,1,1,1,1,1
00001B000000000309CC54A65F687FC1,00001B000000000309CC54265F687FC1,00001B000000000309CC54A65F68FFC1,2.9,1,1,1,3,1,1,1,1,1,1,1
00001B000000000309CC54265F67FFC2,00001B000000000309CC54265F67FFC1,00001B000000000309CC54265F687FC1,3.6,1,1,1,3,3,1,1,1,1,1,1
00001B000000000309CC4E265F5F7FC3,00001B000000000309CC4E265F5F7FC1,00001B000000000309CC4E265F5F7FC2,1.4,1,1,1,3,2,1,1,1,1,1,1
00001B000000000309CC4DA65F5EFFC3,00001B000000000309CC4D265F5E7FC1,00001B000000000309CC4DA65F5EFFC1,1.2,1,1,1,3,3,1,1,1,1,1,1
00001B000000000309CC46A65F55FFC2,00001B000000000309CC46A65F55FFC1,00001B000000000309CC47265F567FC1,0.9,1,1,1,2,1,2,1,1,1,1,1
00001B000000000309CC46A65F57FFC3,00001B000000000309CC46A65F57FFC1,00001B000000000309CC46A65F57FFC2,1.3,1,1,1,4,2,2,1,1,1,1,1
00001B000000000309CC33A65F4FFFC3,00001B000000000309CC33A65F4FFFC2,00001B000000000309CC33A65F4FFFC1,1.4,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CC33A65F4DFFC2,00001B000000000309CC33A65F4D7FC1,00001B000000000309CC33A65F4DFFC1,1.3,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CC30A65F4C7FC4,00001B000000000309CC30A65F4C7FC2,00001B000000000309CC30A65F4C7FC1,1.0,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CC32265F507FC3,00001B000000000309CC32265F507FC2,00001B000000000309CC32265F507FC1,1.0,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CC30265F4A7FC2,00001B000000000309CC30265F4A7FC1,00001B000000000309CC30265F4AFFC1,1.7,1,1,1,3,3,1,1,1,2,1,1
00001B000000000309CC31265F477FC2,00001B000000000309CC31265F477FC1,00001B000000000309CC31265F47FFC1,3.3,1,1,1,2,1,1,1,1,1,1,1
00001B000000000309CC32265F3F7FC3,00001B000000000309CC32265F3F7FC1,00001B000000000309CC32265F3F7FC2,1.2,1,1,1,4,3,2,1,1,1,1,1
00001B000000000309CC37A65F617FC3,00001B000000000309CC37A65F617FC1,00001B000000000309CC37A65F617FC2,1.2,1,1,1,3,3,1,1,1,1,1,1
00001B000000000309CC3CA65F6E7FC2,00001B000000000309CC3CA65F6E7FC1,00001B000000000309CC3C265F6E7FC1,1.1,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CC3AA65F6E7FC3,00001B000000000309CC3AA65F6E7FC2,00001B000000000309CC3AA65F6E7FC1,1.4,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CC3A265F73FFC3,00001B000000000309CC3A265F73FFC1,00001B000000000309CC3A265F73FFC2,1.6,1,1,1,2,2,1,1,1,1,1,1
00001B000000000309CBDA265F3AFFC2,00001B000000000309CBDA265F3AFFC1,00001B000000000309CBDA265F3B7FC1,4.4,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBD0265F3FFFC3,00001B000000000309CBD0265F3FFFC2,00001B000000000309CBD0265F3FFFC1,1.1,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBD0265F40FFC2,00001B000000000309CBD0265F417FC1,00001B000000000309CBD0265F40FFC1,1.2,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CB72A65F38FFC1,00001B000000000309CB72A65F387FC2,00001B000000000309CB72265F38FFC1,1.1,3,1,1,4,3,1,4,1,1,1,1
00001B000000000309CB72A65F387FC3,00001B000000000309CB72A65F387FC1,00001B000000000309CB72A65F387FC2,1.2,3,1,1,4,2,1,4,1,1,1,1
00001B000000000309CB70A65F3A7FC3,00001B000000000309CB70A65F3A7FC1,00001B000000000309CB70A65F3A7FC2,2.4,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB70A65F3C7FC2,00001B000000000309CB70A65F3BFFC1,00001B000000000309CB70A65F3C7FC1,2.0,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB72265F3E7FC3,00001B000000000309CB72265F3E7FC1,00001B000000000309CB72265F3E7FC2,2.1,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB78A65F47FFC2,00001B000000000309CB78A65F47FFC1,00001B000000000309CB78A65F487FC1,2.6,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB77A65F45FFC1,00001B000000000309CB77265F45FFC1,00001B000000000309CB77A65F467FC1,2.1,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB8BA65F5BFFC2,00001B000000000309CB8BA65F5B7FC1,00001B000000000309CB8BA65F5BFFC1,1.9,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB8B265F65FFC2,00001B000000000309CB8AA65F657FC1,00001B000000000309CB8B265F65FFC1,2.5,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB8AA65F59FFC2,00001B000000000309CB8AA65F59FFC1,00001B000000000309CB8AA65F5A7FC1,1.8,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB8A265F647FC2,00001B000000000309CB8A265F647FC1,00001B000000000309CB8A265F64FFC1,2.1,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB71A65F397FC1,00001B000000000309CB72265F38FFC1,00001B000000000309CB70A65F3A7FC1,12.0,3,1,1,4,1,1,4,1,1,1,1
00001B000000000309CBCCA65F51FFC3,00001B000000000309CBCCA65F51FFC2,00001B000000000309CBCCA65F51FFC1,1.8,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBC8A65F5A7FC2,00001B000000000309CBC8A65F5AFFC1,00001B000000000309CBC8A65F5A7FC1,1.1,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBCC265F52FFC3,00001B000000000309CBCC265F52FFC2,00001B000000000309CBCC265F52FFC1,1.2,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CBCBA65F5E7FC1,00001B000000000309CBCBA65F5EFFC1,00001B000000000309CBCC265F5E7FC1,3.3,4,1,1,4,1,1,1,1,1,1,1
00001B000000000309CBCCA65F5CFFC1,00001B000000000309CBCC265F5E7FC1,00001B000000000309CBCD265F5BFFC1,13.7,1,1,1,4,1,1,1,1,2,1,1
00001B000000000309CBC7A65F67FFC2,00001B000000000309CBC7A65F67FFC1,00001B000000000309CBC7A65F677FC1,2.3,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBC7265F68FFC2,00001B000000000309CBC7265F697FC1,00001B000000000309CBC7265F68FFC1,1.9,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CBC6265F69FFC2,00001B000000000309CBC6265F69FFC1,00001B000000000309CBC6A65F69FFC1,3.8,1,1,1,4,2,1,1,1,2,1,1
00001B000000000309CBC2A65F677FC2,00001B000000000309CBC2A65F677FC1,00001B000000000309CBC3265F677FC1,2.0,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CBC1A65F69FFC1,00001B000000000309CBC1A65F6A7FC1,00001B000000000309CBC1A65F697FC1,4.5,1,1,1,4,1,1,1,1,1,1,1
00001B000000000309CBC5265F6CFFC1,00001B000000000309CBC4A65F6CFFC1,00001B000000000309CBC5265F6C7FC1,4.2,1,1,1,4,1,1,1,1,1,1,1
00001B000000000309CBBFA65F6D7FC1,00001B000000000309CBC0265F6D7FC1,00001B000000000309CBBF265F6D7FC1,4.6,1,1,1,4,1,1,1,1,1,1,1
00001B000000000309CBBCA65F737FC1,00001B000000000309CBBCA65F73FFC1,00001B000000000309CBBC265F737FC1,4.3,1,1,1,4,1,1,1,1,1,1,1
00001B000000000309CBC4A65F6DFFC1,00001B000000000309CBC4A65F6E7FC1,00001B000000000309CBC5265F6D7FC1,6.2,1,1,1,4,3,1,1,1,2,1,1
00001B000000000309CBC2265F687FC1,00001B000000000309CBC1A65F697FC1,00001B000000000309CBC2A65F677FC1,12.1,1,1,1,4,1,1,1,1,2,1,1
00001B000000000309CBC0A65F6B7FC1,00001B000000000309CBC0265F6D7FC1,00001B000000000309CBC1A65F697FC1,21.2,1,1,1,4,1,1,1,1,2,1,1
00001B000000000309CBBE265F707FC1,00001B000000000309CBBCA65F73FFC1,00001B000000000309CBC0265F6D7FC1,38.8,1,1,1,4,1,1,1,1,2,1,1
00001B000000000309CBC5265F6CFFC2,00001B000000000309CBC5265F6D7FC1,00001B000000000309CBC5265F6C7FC1,4.6,1,1,1,4,1,1,1,1,2,1,1
00001B000000000309CBC6265F6B7FC1,00001B000000000309CBC5265F6C7FC1,00001B000000000309CBC6A65F69FFC1,14.5,1,1,1,4,1,1,1,1,2,1,1
00001B000000000309CBA4265F75FFC3,00001B000000000309CBA4265F75FFC1,00001B000000000309CBA4265F75FFC2,1.0,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CBA3265F757FC3,00001B000000000309CBA3265F757FC1,00001B000000000309CBA3265F757FC2,1.3,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB8CA65F677FC1,00001B000000000309CB8D265F677FC1,00001B000000000309CB8CA65F67FFC1,2.8,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB90265F61FFC1,00001B000000000309CB8FA65F61FFC1,00001B000000000309CB90265F627FC1,1.8,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB96265F67FFC1,00001B000000000309CB95A65F67FFC1,00001B000000000309CB96265F687FC1,2.4,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB96265F68FFC2,00001B000000000309CB96265F68FFC1,00001B000000000309CB96265F687FC2,3.4,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB90265F6C7FC2,00001B000000000309CB90265F6BFFC1,00001B000000000309CB90265F6C7FC1,2.5,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB8EA65F657FC3,00001B000000000309CB8EA65F657FC1,00001B000000000309CB8EA65F657FC2,1.3,3,1,1,4,2,1,4,1,1,1,1
00001B000000000309CB98265F72FFC1,00001B000000000309CB97A65F72FFC1,00001B000000000309CB98265F737FC1,1.5,1,1,1,4,2,1,1,1,1,1,1
00001B000000000309CB97265F727FC3,00001B000000000309CB97265F727FC1,00001B000000000309CB97265F727FC2,1.4,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB9AA65F75FFC1,00001B000000000309CB9A265F757FC1,00001B000000000309CB9B265F767FC1,5.5,1,1,1,3,1,1,1,1,1,1,1
00001B000000000309CB90A65F637FC2,00001B000000000309CB90A65F62FFC1,00001B000000000309CB90A65F637FC1,3.2,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB8F265F60FFC3,00001B000000000309CB8F265F60FFC1,00001B000000000309CB8F265F60FFC2,2.5,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB92A65F6D7FC1,00001B000000000309CB92A65F6DFFC1,00001B000000000309CB93265F6D7FC1,3.0,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB93A65F6C7FC1,00001B000000000309CB93265F6D7FC1,00001B000000000309CB94265F6B7FC1,12.0,3,1,1,4,1,1,4,1,1,1,1
00001B000000000309CB94A65F66FFC2,00001B000000000309CB94A65F66FFC1,00001B000000000309CB95265F66FFC1,1.5,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB8E265F69FFC1,00001B000000000309CB8DA65F69FFC1,00001B000000000309CB8E265F6A7FC1,2.9,1,1,1,4,3,1,1,1,1,1,1
00001B000000000309CB8FA65F647FC1,00001B000000000309CB90A65F637FC1,00001B000000000309CB8EA65F657FC1,14.1,3,1,1,4,1,1,4,1,1,1,1
00001B000000000309CB8EA65F65FFC2,00001B000000000309CB8EA65F657FC2,00001B000000000309CB8EA65F65FFC1,1.5,3,1,1,4,3,1,4,1,1,1,1
00001B000000000309CB94265F6B7FC2,00001B000000000309CB94265F6B7FC1,00001B000000000309CB94A65F6B7FC1,1.7,3,1,1,4,2,1,4,1,1,1,1
00001B000000000309CB94A65F6B7FC2,00001B000000000309CB94A65F6B7FC1,00001B000000000309CB94A65F6AFFC1,1.5,3,1,1,4,3,1,4,1,1,1,1
00001B000000000309CB8DA65F667FC1,00001B000000000309CB8EA65F65FFC1,00001B000000000309CB8D265F677FC1,11.8,3,1,1,4,1,1,4,1,1,1,1
00001B000000000309CB57265F0BFFC3,00001B000000000309CB57265F0BFFC1,00001B000000000309CB57265F0BFFC2,2.5,1,1,1,4,3,1,1,1,1,1,1
