97,203,204,4,"LINESTRING(139.7005233 35.65862305, 139.7003025 35.65857655)"
98,202,203,4,"LINESTRING(139.7004313 35.65888808, 139.7005233 35.65862305)"
99,204,205,4,"LINESTRING(139.7003025 35.65857655, 139.7002818 35.65874394)"
100,188,206,4,"LINESTRING(139.7000794 35.65853471, 139.7001093 35.65872069)"
101,188,189,4,"LINESTRING(139.7000794 35.65853471, 139.6995066 35.65831152)"
102,189,190,4,"LINESTRING(139.6995066 35.65831152, 139.6989592 35.65811159)"
103,190,191,4,"LINESTRING(139.6989592 35.65811159, 139.6987016 35.65827665)"
104,191,192,4,"LINESTRING(139.6987016 35.65827665, 139.6987982 35.65806742)"
105,190,192,4,"LINESTRING(139.6989592 35.65811159, 139.6987982 35.65806742)"
106,191,193,4,"LINESTRING(139.6987016 35.65827665, 139.698621 35.65849751)"
107,193,201,4,"LINESTRING(139.698621 35.65849751, 139.6989339 35.65863467)"
108,200,201,4,"LINESTRING(139.6988396 35.65878579, 139.6989339 35.65863467)"
109,194,200,4,"LINESTRING(139.6984853 35.65868814, 139.6988396 35.65878579)"
110,193,194,4,"LINESTRING(139.698621 35.65849751, 139.6984853 35.65868814)"
111,182,201,4,"LINESTRING(139.699479 35.65887645, 139.6989339 35.65863467)"
112,180,181,4,"LINESTRING(139.6991225 35.65931584, 139.6993548 35.65902292)"
113,177,180,4,"LINESTRING(139.6992398 35.65935071, 139.6991225 35.65931584)"
114,194,195,4,"LINESTRING(139.6984853 35.65868814, 139.6982507 35.65907406)"
115,180,195,4,"LINESTRING(139.6991225 35.65931584, 139.6982507 35.65907406)"
116,195,196,4,"LINESTRING(139.6982507 35.65907406, 139.6980782 35.65922982)"
117,196,199,4,"LINESTRING(139.6980782 35.65922982, 139.6977171 35.65912056)"
118,195,197,4,"LINESTRING(139.6982507 35.65907406, 139.6977723 35.6589462)"
119,178,196,4,"LINESTRING(139.6992237 35.65956692, 139.6980782 35.65922982)"
120,177,178,4,"LINESTRING(139.6992398 35.65935071, 139.6992237 35.65956692)"
121,176,177,4,"LINESTRING(139.6995227 35.65940651, 139.6992398 35.65935071)"
